"[47.488772999999995, 19.061847]"
"[47.489283, 19.062286]"
"[47.489429000000001, 19.062147]"
"[47.489474000000001, 19.062286999999998]"
"[47.489646999999998, 19.061951000000001]"
"[47.488993000000001, 19.062032000000002]"
"[47.489012000000002, 19.064676000000002]"
"[47.48939, 19.068797]"
"[47.488871000000003, 19.070707000000002]"
"[47.489460999999999, 19.077646999999999]"
"[47.489078999999997, 19.079872000000002]"
"[47.501690000000004, 19.093503999999999]"
"[47.501694000000001, 19.093076]"
"[47.502084000000004, 19.09132]"
"[47.504218000000002, 19.089994000000001]"
"[47.504109, 19.088840999999999]"
"[47.504002, 19.088936999999998]"
"[47.505994000000001, 19.086696]"
"[47.509495000000001, 19.082618]"
"[47.510247999999997, 19.078654999999998]"
"[47.508907000000001, 19.075571]"
"[47.510222999999996, 19.073549]"
"[47.510801000000001, 19.071729999999999]"
"[47.509403999999996, 19.069269999999999]"
"[47.508887000000001, 19.068235999999999]"
"[47.507550000000002, 19.066799]"
"[47.506346000000001, 19.064923999999998]"
"[47.50564, 19.063314000000002]"
"[47.508969999999998, 19.061501999999997]"
"[47.507829999999998, 19.058999]"
"[47.509473, 19.057623]"
"[47.511082000000002, 19.056110999999998]"
"[47.509209000000006, 19.067348000000003]"
"[47.489998999999997, 19.104855000000001]"
"[47.492336999999999, 19.103901999999998]"
"[47.480930000000001, 19.067873000000002]"
"[47.482391, 19.068709999999999]"
"[47.484660999999996, 19.069614000000001]"
"[47.486167999999999, 19.069824000000001]"
"[47.486736000000001, 19.07057]"
"[47.486862000000002, 19.070557000000001]"
"[47.487400000000001, 19.074418999999999]"
"[47.487614000000001, 19.070661999999999]"
"[47.487788999999999, 19.071005]"
"[47.488914000000001, 19.083139000000003]"
"[47.489189000000003, 19.074382999999997]"
"[47.489201000000001, 19.070626999999998]"
"[47.489272999999997, 19.079645000000003]"
"[47.489452, 19.088894]"
"[47.489532000000004, 19.077348999999998]"
"[47.489662000000003, 19.074660999999999]"
"[47.490153999999997, 19.08709]"
"[47.490952, 19.070914999999999]"
"[47.492049999999999, 19.071072000000001]"
"[47.494025999999998, 19.085242999999998]"
"[47.494399999999999, 19.071070000000002]"
"[47.495505999999999, 19.071016]"
"[47.495602000000005, 19.070992]"
"[47.497349, 19.070639]"
"[47.498455, 19.081007]"
"[47.498497, 19.070314]"
"[47.498978000000001, 19.081914999999999]"
"[47.499817, 19.072054000000001]"
"[47.501053000000006, 19.074189999999998]"
"[47.501888000000001, 19.075565000000001]"
"[47.502231999999999, 19.085192000000003]"
"[47.502898999999999, 19.077423]"
"[47.504390999999998, 19.080673000000001]"
"[47.504932000000004, 19.081947]"
"[47.505577000000002, 19.087019000000002]"
"[47.506034999999997, 19.084295000000001]"
"[47.506332, 19.068570999999999]"
"[47.506572999999996, 19.085463000000001]"
"[47.507927000000002, 19.087297]"
"[47.510005999999997, 19.090032999999998]"
"[47.512363000000001, 19.093121]"
"[47.513252000000001, 19.092632000000002]"
"[47.516396, 19.088945000000002]"
"[47.516509999999997, 19.088782999999999]"
"[47.517181000000001, 19.087758999999998]"
"[47.489501000000004, 19.063295999999998]"
"[47.489519999999999, 19.078489999999999]"
"[47.489826000000001, 19.071282]"
"[47.491195000000005, 19.064451000000002]"
"[47.495486, 19.064319000000001]"
"[47.506053999999999, 19.077957000000001]"
"[47.517346000000003, 19.072507999999999]"
"[47.516209000000003, 19.070717999999999]"
"[47.513496999999994, 19.065298000000002]"
"[47.510384000000002, 19.058885999999998]"
"[47.511102000000001, 19.058642000000003]"
"[47.508328999999996, 19.059035999999999]"
"[47.480686999999996, 19.102644000000002]"
"[47.513711999999998, 19.058118]"
"[47.510818, 19.056989000000002]"
"[47.510950999999999, 19.053815]"
"[47.507810999999997, 19.054973999999998]"
"[47.504781000000001, 19.054693]"
"[47.503370000000004, 19.054770000000001]"
"[47.501669, 19.054544]"
"[47.499284000000003, 19.054721000000001]"
"[47.498007000000001, 19.054854000000002]"
"[47.497971, 19.054628000000001]"
"[47.497433000000001, 19.054991000000001]"
"[47.496590999999995, 19.056917000000002]"
"[47.495584999999998, 19.059877]"
"[47.495455999999997, 19.062035000000002]"
"[47.494574, 19.061059]"
"[47.494537000000001, 19.06101]"
"[47.493791999999999, 19.058145]"
"[47.493386999999998, 19.056601000000001]"
"[47.492845000000003, 19.054929999999999]"
"[47.491914000000001, 19.052274000000001]"
"[47.485464, 19.059014999999999]"
"[47.480108000000001, 19.066122]"
"[47.510778000000002, 19.099428]"
"[47.513467999999996, 19.096066]"
"[47.506805999999997, 19.104908999999999]"
"[47.488339000000003, 19.102762999999999]"
"[47.489827000000005, 19.102871]"
"[47.499547999999997, 19.054789000000003]"
